A_changes,B_drives,"corr(dA/dt, B)",best_lag,effect_type,corr_pair_with_CCI,corr_pair_with_Openness,corr_pair_with_Coherence,corr_pair_with_NegEntropy
Agape,Agape,-0.9997546895591016,-15,catalytic (lag=-15),0.7141784947808979,-0.9918020839314212,-0.9822990262079129,-0.5187555852828559
Agape,Eros,-0.9249666744582719,20,catalytic (lag=20),0.603144503375249,-0.9657895174778272,-0.9864381431511151,-0.6441368279536455
Agape,Philia,-0.9919659261057535,-20,catalytic (lag=-20),0.6695999445976963,-0.9852463762754259,-0.9873736993121159,-0.5766327387716076
Agape,Pragma,-0.9706110486420938,-20,catalytic (lag=-20),0.6613720705029313,-0.9835914372961629,-0.9883900477507438,-0.5862487935687255
Agape,Storge,-0.978493133324024,0,destructive (-),0.6475787189768824,-0.9802740418379701,-0.9883905845349595,-0.6010404861647471
Agape,Ludus,0.9249666744582721,20,catalytic (lag=20),0.6036787942789253,-0.9647414283250885,-0.986820705403715,-0.6423861235515446
Agape,Joy,0.987015214171918,20,catalytic (lag=20),0.616988486360877,-0.970663721884236,-0.9872058282619229,-0.6321069559650416
Agape,Gratitude,0.7467705642597431,20,catalytic (lag=20),0.9764843247761416,-0.8397332106183115,-0.7699807129565144,0.05250354143951782
Agape,Curiosity,0.9744798588143354,5,catalytic (lag=5),0.5868965835498468,-0.9601218285115584,-0.9829819617452865,-0.6599144593605119
Agape,Anger,-0.9249666744582732,20,catalytic (lag=20),0.6022804931889784,-0.9664690095088593,-0.9855574555393483,-0.6457297397735111
Agape,Fear,-0.9988900579857761,-6,catalytic (lag=-6),0.7209081769922535,-0.9948736107757669,-0.9901307866103343,-0.5091776393123941
Agape,Sadness,0.7040295836520118,20,catalytic (lag=20),0.7423797615559723,-0.989799839998708,-0.9878844306095749,-0.4960992924652192
Agape,Awe,0.9917158317146118,20,catalytic (lag=20),0.6588241363622749,-0.9812592570519405,-0.9823640817733355,-0.587956602166151
Agape,Compassion,0.7310419661801848,20,catalytic (lag=20),0.9740898686932953,-0.8546992102270312,-0.7864228740444206,0.025167961608107473
Agape,Hope,0.9644291563501642,20,catalytic (lag=20),0.6421759249452096,-0.9784306562245644,-0.9892779966983607,-0.6072243978161781
Agape,Openness,0.979894188155755,-20,catalytic (lag=-20),0.47925570217284263,-0.9034956687789096,-0.9524466233323484,-0.7298710236065098
Agape,Coherence,0.9897684931007095,-19,catalytic (lag=-19),0.1788006606141962,-0.6875337109923109,-0.7769012357567143,-0.8443769231687593
Agape,Entropy,-0.7976249547578929,20,catalytic (lag=20),0.4505567917450863,-0.9013278298474441,-0.9446088656401109,-0.7737817054572853
Eros,Agape,-0.9198335602512435,-20,catalytic (lag=-20),0.603144503375249,-0.9657895174778272,-0.9864381431511151,-0.6441368279536455
Eros,Eros,-0.9986544350678765,-20,catalytic (lag=-20),0.1979241104176304,-0.7547111168210876,-0.8269040354121956,-0.9098019454526222
Eros,Philia,-0.8900572072158688,20,catalytic (lag=20),0.5650953516609906,-0.9538895850436153,-0.9727200312641882,-0.6802398655426269
Eros,Pragma,-0.7967065639392519,-20,catalytic (lag=-20),0.5693426203428822,-0.9550954595394889,-0.9717482892498538,-0.6733954801654934
Eros,Storge,-0.9915797418131731,20,catalytic (lag=20),0.40163572208622494,-0.8767309215146478,-0.9244291520372148,-0.8060605567835589
Eros,Ludus,0.9986544350678769,-20,catalytic (lag=-20),0.08354583528899845,-0.6759878024825346,-0.7589194691775053,-0.9494760907339905
Eros,Joy,0.9834409207237906,10,catalytic (lag=10),-0.26424071832076484,0.4989314224847975,0.5715922997483405,0.4748526402773936
Eros,Gratitude,0.9127342450459748,20,catalytic (lag=20),0.20026288857754632,0.45190607250173087,0.5557196630491976,0.9676277040387647
Eros,Curiosity,0.9254702238552175,-20,catalytic (lag=-20),-0.6662115630988193,0.19055075288420636,0.12338411827591453,-0.63252208275419
Eros,Anger,-0.998654435067877,-20,catalytic (lag=-20),0.21302834450856548,-0.7644633282090816,-0.8351436782032324,-0.903544580031578
Eros,Fear,-0.9203321807407084,-20,catalytic (lag=-20),0.6036602808986542,-0.9579043873573554,-0.9879222687846859,-0.6260738230392295
Eros,Sadness,0.8870795743320167,-20,catalytic (lag=-20),0.3076248319815544,0.3462727998498042,0.4540570919851677,0.9288106118189448
Eros,Awe,0.9677625443620033,15,catalytic (lag=15),0.10351984072861518,0.2518938375676374,0.36549225793107876,0.6014933740837082
Eros,Compassion,0.9022950992473293,20,catalytic (lag=20),0.2279145540172315,0.4263321532781232,0.5316081237924519,0.9629651240490456
Eros,Hope,0.9948449177568941,20,catalytic (lag=20),-0.042513870868031295,0.5563992605774716,0.6565421000877877,0.8598011579493008
Eros,Openness,0.8049830950938313,-20,catalytic (lag=-20),-0.9833091114948816,0.7977529425385992,0.7075340114767265,-0.1872702151643787
Eros,Coherence,0.8572074308986513,-20,catalytic (lag=-20),-0.8268597064443566,0.9853713073190878,0.9732753654187889,0.32740983466540263
Eros,Entropy,-0.9444111377915828,20,catalytic (lag=20),-0.1357267017825576,-0.48621829010482365,-0.5820235003969079,-0.9978312178407011
Philia,Agape,-0.9937372317196854,15,catalytic (lag=15),0.6695999445976963,-0.9852463762754259,-0.9873736993121159,-0.5766327387716076
Philia,Eros,-0.8356774145647926,20,catalytic (lag=20),0.5650953516609906,-0.9538895850436153,-0.9727200312641882,-0.6802398655426269
Philia,Philia,-0.9971792990046556,-9,catalytic (lag=-9),0.6976423974429831,-0.9863440667712031,-0.9766600538191361,-0.5357873734503747
Philia,Pragma,-0.9982240484779774,-18,catalytic (lag=-18),0.7179892202487863,-0.9879928154489337,-0.9735809978793719,-0.5068670564601265
Philia,Storge,-0.9334640922740968,0,destructive (-),0.561722489789132,-0.9518396265443674,-0.9709697548692874,-0.6859833601091972
Philia,Ludus,0.8356774145647929,20,catalytic (lag=20),0.7832718003123215,-0.9952676790127974,-0.9724553764214757,-0.42134263117993564
Philia,Joy,0.9199208273780584,20,catalytic (lag=20),0.846466342765466,-0.8657975883578952,-0.7907563581022733,-0.10052466317739339
Philia,Gratitude,0.6308864887423449,20,catalytic (lag=20),0.3078487046351509,0.3501434097746831,0.46147429354727426,0.9613519938754087
Philia,Curiosity,0.9592969523490877,18,catalytic (lag=18),0.6586453027647052,-0.9358207249173334,-0.9125283662905408,-0.49196462139786534
Philia,Anger,-0.835677414564793,20,catalytic (lag=20),0.442494665869576,-0.9010157258856557,-0.9388144712136907,-0.7784654357197545
Philia,Fear,-0.9993221532308662,17,catalytic (lag=17),0.6589288259778264,-0.9818059139451393,-0.9955211545807738,-0.5827279918299499
Philia,Sadness,0.5899731961230591,20,catalytic (lag=20),0.6347156530369066,-0.01908857250928007,0.10555292237914728,0.8303286722585647
Philia,Awe,0.9237933803685381,20,catalytic (lag=20),0.7740852973947052,-0.633866368788093,-0.5234026022694357,0.16345070486525645
Philia,Compassion,0.6146985580133957,20,catalytic (lag=20),0.33837020817120383,0.31967151372385866,0.43252721642878017,0.9531563169999487
Philia,Hope,0.8767374239916089,20,catalytic (lag=20),0.8208799058133883,-0.5161640144457234,-0.3926353869178499,0.4207244785725663
Philia,Openness,0.9933672685884329,-11,catalytic (lag=-11),-0.1696344051146976,-0.46141888134394476,-0.5782440508522264,-0.9706203746415977
Philia,Coherence,0.9974439005564782,2,catalytic (lag=2),-0.7847707210303533,0.9909528087608891,0.9857732826991044,0.3966471750427181
Philia,Entropy,-0.6618007911810287,20,catalytic (lag=20),0.036842945127353435,-0.6336464218586118,-0.7137927009872234,-0.971750695566122
Pragma,Agape,-0.9881505230696896,17,catalytic (lag=17),0.6613720705029313,-0.9835914372961629,-0.9883900477507438,-0.5862487935687255
Pragma,Eros,-0.8122414892772395,20,catalytic (lag=20),0.5693426203428822,-0.9550954595394889,-0.9717482892498538,-0.6733954801654934
Pragma,Philia,-0.9930060104997284,-3,catalytic (lag=-3),0.7179892202487863,-0.9879928154489337,-0.9735809978793719,-0.5068670564601265
Pragma,Pragma,-0.9981356206114593,-14,catalytic (lag=-14),0.7518162489260293,-0.9874305762928763,-0.9644592612498248,-0.4536124709445827
Pragma,Storge,-0.916368482925155,0,destructive (-),0.5448254658749341,-0.945448962103027,-0.9673810024748144,-0.7007973412680372
Pragma,Ludus,0.8122414892772403,20,catalytic (lag=20),0.9141767130979105,-0.9213876716884067,-0.8554221645991531,-0.1032530081894155
Pragma,Joy,0.904104774952082,20,catalytic (lag=20),0.7408934534716891,-0.42715084209001053,-0.3017591876261492,0.45563721036131216
Pragma,Gratitude,0.6005888530171737,20,catalytic (lag=20),0.27138751091812124,0.385484714757754,0.4943499362083946,0.9658623188825071
Pragma,Curiosity,0.9612985220268606,20,catalytic (lag=20),0.6650884587792745,-0.7171139553201084,-0.6412142705239045,-0.10808803586191947
Pragma,Anger,-0.8122414892772405,20,catalytic (lag=20),0.4040654589053738,-0.881851557975164,-0.9245648226185682,-0.8038397602992792
Pragma,Fear,-0.998022110187737,20,catalytic (lag=20),0.6459070434011227,-0.9772418683455526,-0.9946740238909468,-0.5949560961204939
Pragma,Sadness,0.5595839313754128,20,catalytic (lag=20),0.48761024665403013,0.15981961747951934,0.2803119152665009,0.9042991522840267
Pragma,Awe,0.9099610609854858,20,catalytic (lag=20),0.6029733642415592,-0.24451490218089944,-0.11112735970934806,0.5372546686291937
Pragma,Compassion,0.5841627995980854,20,catalytic (lag=20),0.29866684364685897,0.35904174446251125,0.46932418474642307,0.959432071681402
Pragma,Hope,0.8568008052754271,20,catalytic (lag=20),0.5322238053839736,-0.016322127194992226,0.11795060534954482,0.7916515047516964
Pragma,Openness,0.9952192352972249,-7,catalytic (lag=-7),-0.9048129475467328,0.9463956044130968,0.8948795647640252,0.1970922258205285
Pragma,Coherence,0.9987676789329331,4,catalytic (lag=4),-0.7019186377571344,0.9871076679555485,0.9994480635359773,0.5191386857801661
Pragma,Entropy,-0.6303085177317677,20,catalytic (lag=20),-0.028192394564452942,-0.5810754486873857,-0.6661182927992496,-0.98503345391384
Storge,Agape,-0.9912685147689144,-3,catalytic (lag=-3),0.6475787189768824,-0.9802740418379701,-0.9883905845349595,-0.6010404861647471
Storge,Eros,-0.9524115576153317,-20,catalytic (lag=-20),0.40163572208622494,-0.8767309215146478,-0.9244291520372148,-0.8060605567835589
Storge,Philia,-0.9716801034193541,20,catalytic (lag=20),0.561722489789132,-0.9518396265443674,-0.9709697548692874,-0.6859833601091972
Storge,Pragma,-0.9277408485343513,-12,catalytic (lag=-12),0.5448254658749341,-0.945448962103027,-0.9673810024748144,-0.7007973412680372
Storge,Storge,-0.9957829986037006,-20,catalytic (lag=-20),0.5065864659216951,-0.9286706264709698,-0.9599218428032005,-0.7327091255157545
Storge,Ludus,0.9524115576153322,-20,catalytic (lag=-20),0.3996499690342229,-0.8751753265731772,-0.9233460448769977,-0.807586498211241
Storge,Joy,0.983119275559769,20,catalytic (lag=20),0.41359373595316573,-0.8854745329872571,-0.9236580934213153,-0.7985275575502976
Storge,Gratitude,0.7898707186299029,-20,catalytic (lag=-20),0.4046652274575718,0.2508822386739758,0.3679220649827813,0.9325780831941991
Storge,Curiosity,0.9445349512986352,6,catalytic (lag=6),0.3189798115986829,-0.8328584533687269,-0.8851852345538175,-0.8566431210641277
Storge,Anger,-0.9524115576153328,-20,catalytic (lag=-20),0.4031951280400715,-0.8779354237674141,-0.925258252273964,-0.8048283249696753
Storge,Fear,-0.9868848297681856,0,destructive (-),0.661403194780911,-0.9818725807087789,-0.9964286478606996,-0.5777612170522533
Storge,Sadness,0.7657952796985004,-20,catalytic (lag=-20),0.9318354679993918,-0.8389737506389991,-0.7779330082697464,-0.053411137867562415
Storge,Awe,0.9794566858421496,20,catalytic (lag=20),0.5176862688268951,-0.9155496561571134,-0.9205693418200392,-0.6887564513626979
Storge,Compassion,0.7728146317633059,-20,catalytic (lag=-20),0.4574656309088337,0.19276787868227166,0.3117242677395047,0.912214217022053
Storge,Hope,0.965268791192596,20,catalytic (lag=20),0.49847913659372256,-0.9232939791574388,-0.9444303252663118,-0.7300325650334252
Storge,Openness,0.9306009966903739,-16,catalytic (lag=-16),0.011865780314171645,-0.6031479125092895,-0.7000361558494398,-0.9534386719616417
Storge,Coherence,0.9621849626996716,-2,catalytic (lag=-2),-0.787711020952254,0.3398731335965265,0.22903881018766015,-0.6624855413847036
Storge,Entropy,-0.8183246762126982,20,catalytic (lag=20),0.11938353340522631,-0.6928337168256063,-0.7698632689952004,-0.9463291934052512
Ludus,Agape,0.919833560251241,-20,catalytic (lag=-20),0.6036787942789253,-0.9647414283250885,-0.986820705403715,-0.6423861235515446
Ludus,Eros,0.9986544350678763,-20,catalytic (lag=-20),0.08354583528899845,-0.6759878024825346,-0.7589194691775053,-0.9494760907339905
Ludus,Philia,0.8900572072158546,20,catalytic (lag=20),0.7832718003123215,-0.9952676790127974,-0.9724553764214757,-0.42134263117993564
Ludus,Pragma,0.7967065639392407,-20,catalytic (lag=-20),0.9141767130979105,-0.9213876716884067,-0.8554221645991531,-0.1032530081894155
Ludus,Storge,0.9915797418131703,20,catalytic (lag=20),0.3996499690342229,-0.8751753265731772,-0.9233460448769977,-0.807586498211241
Ludus,Ludus,-0.9986544350678768,-20,catalytic (lag=-20),-0.15607873663665467,0.7268991813119603,0.8031660415502466,0.9258814476627494
Ludus,Joy,-0.9834409207237924,10,catalytic (lag=10),-0.16534651718888027,0.7104311621712313,0.7928334120672565,0.9038700517376994
Ludus,Gratitude,-0.9127342450459802,20,catalytic (lag=20),0.19533684321772973,0.4561785251614263,0.5589801290845305,0.9672460685443919
Ludus,Curiosity,-0.9254702238552273,-20,catalytic (lag=-20),-0.3891255373410104,0.8387407359031874,0.8980273135579763,0.7814934514811288
Ludus,Anger,0.9986544350678764,-20,catalytic (lag=-20),0.13350354480949062,-0.7114174486929732,-0.789812086902259,-0.9338008543381149
Ludus,Fear,0.9203321807407089,-20,catalytic (lag=-20),0.5813091921240998,-0.9471400145488009,-0.9821246141160718,-0.6428524168813273
Ludus,Sadness,-0.8870795743320087,-20,catalytic (lag=-20),0.20815736595724013,0.44378376391601504,0.546568823032911,0.9522704551713317
Ludus,Awe,-0.9677625443620044,15,catalytic (lag=15),-0.043590060019519275,0.5899044054507804,0.6899530588709409,0.8975282971810501
Ludus,Compassion,-0.9022950992473362,20,catalytic (lag=20),0.21629703832432637,0.43687192378067413,0.5407436195542874,0.9631700587776219
Ludus,Hope,-0.9948449177568949,20,catalytic (lag=20),-0.07747233685781987,0.6506335405062285,0.7403542053208052,0.9358480984768925
Ludus,Openness,-0.804983095093824,-20,catalytic (lag=-20),-0.6305002741951962,0.974818590819465,0.9889643611099971,0.6197028906799809
Ludus,Coherence,-0.8572074308986463,-20,catalytic (lag=-20),-0.6109829692998686,0.9657528464281823,0.9937914701351163,0.621195525345694
Ludus,Entropy,0.9444111377915875,20,catalytic (lag=20),-0.23465240302111826,-0.3960004029107991,-0.49645996845787244,-0.9989689561432487
Joy,Agape,0.6701069997238055,-20,catalytic (lag=-20),0.616988486360877,-0.970663721884236,-0.9872058282619229,-0.6321069559650416
Joy,Eros,0.9040706232223731,-20,catalytic (lag=-20),-0.26424071832076484,0.4989314224847975,0.5715922997483405,0.4748526402773936
Joy,Philia,0.5555772731243142,-20,catalytic (lag=-20),0.846466342765466,-0.8657975883578952,-0.7907563581022733,-0.10052466317739339
Joy,Pragma,-0.72138716283317,20,catalytic (lag=20),0.7408934534716891,-0.42715084209001053,-0.3017591876261492,0.45563721036131216
Joy,Storge,0.8060938690424041,-20,catalytic (lag=-20),0.41359373595316573,-0.8854745329872571,-0.9236580934213153,-0.7985275575502976
Joy,Ludus,-0.9040706232223736,-20,catalytic (lag=-20),-0.16534651718888027,0.7104311621712313,0.7928334120672565,0.9038700517376994
Joy,Joy,-0.9557271741694632,-20,catalytic (lag=-20),-0.16712895519489676,0.694532165878844,0.7784672129219851,0.8857052085539726
Joy,Gratitude,-0.9088024540471369,-20,catalytic (lag=-20),0.1848962944921915,0.46559351116571457,0.5686814240650064,0.9725516378724104
Joy,Curiosity,-0.8083025755080175,-20,catalytic (lag=-20),-0.32351116947931224,0.7804365055716,0.8489935827810149,0.7959916288056035
Joy,Anger,0.9040706232223725,-20,catalytic (lag=-20),0.09097996908707207,-0.684164863851881,-0.7567051345037127,-0.9441476131302826
Joy,Fear,0.7024972997665134,-20,catalytic (lag=-20),0.5861876856011956,-0.9512768938117173,-0.983521380049899,-0.6437945790589632
Joy,Sadness,-0.8907379610440689,-20,catalytic (lag=-20),0.17664613414800734,0.4735792273756623,0.5775736324554315,0.96432780524673
Joy,Awe,-0.9863591093184073,-20,catalytic (lag=-20),-0.0728734254014666,0.6026686764886715,0.6991099330835933,0.8820296932309881
Joy,Compassion,-0.9016175310695362,-20,catalytic (lag=-20),0.20474301646147045,0.44777684293278575,0.5519609111926616,0.9692308484091711
Joy,Hope,-0.976287431712734,-20,catalytic (lag=-20),-0.09460249873181346,0.6506900249731256,0.7401588505757043,0.9192493836438008
Joy,Openness,0.8415034931681385,20,catalytic (lag=20),-0.5328558791900316,0.9266448788776772,0.9618101754748518,0.7018653031937999
Joy,Coherence,0.7385450784089956,20,catalytic (lag=20),-0.5553789843758447,0.9404177537624903,0.9786284576147416,0.6742200601741741
Joy,Entropy,0.9222806691083474,-20,catalytic (lag=-20),-0.27003148465181653,-0.3602652317714879,-0.45866082215272624,-0.9940625779679512
Gratitude,Agape,-0.8088863906104251,20,catalytic (lag=20),0.9764843247761416,-0.8397332106183115,-0.7699807129565144,0.05250354143951782
Gratitude,Eros,-0.952293031856152,0,destructive (-),0.20026288857754632,0.45190607250173087,0.5557196630491976,0.9676277040387647
Gratitude,Philia,-0.814759930118141,20,catalytic (lag=20),0.3078487046351509,0.3501434097746831,0.46147429354727426,0.9613519938754087
Gratitude,Pragma,-0.6970842634472987,0,destructive (-),0.27138751091812124,0.385484714757754,0.4943499362083946,0.9658623188825071
Gratitude,Storge,-0.9091213220206675,20,catalytic (lag=20),0.4046652274575718,0.2508822386739758,0.3679220649827813,0.9325780831941991
Gratitude,Ludus,0.9522930318561521,0,constructive (+),0.19533684321772973,0.4561785251614263,0.5589801290845305,0.9672460685443919
Gratitude,Joy,0.8642497805944734,4,catalytic (lag=4),0.1848962944921915,0.46559351116571457,0.5686814240650064,0.9725516378724104
Gratitude,Gratitude,0.963274228089394,18,catalytic (lag=18),0.305273326351146,0.34560722171808805,0.45106796249437725,0.9200790965275779
Gratitude,Curiosity,0.6964997305951609,0,constructive (+),0.1608110904294084,0.4871238378360425,0.5890228999653799,0.9726635145362177
Gratitude,Anger,-0.9522930318561518,0,destructive (-),0.2215170230815039,0.4329345816219328,0.5410607003042075,0.9684564790280823
Gratitude,Fear,-0.7809399080096968,0,destructive (-),0.540607441394524,-0.9299489866846296,-0.9698103105689092,-0.680702477073873
Gratitude,Sadness,0.9563327181203746,20,catalytic (lag=20),0.2854664457793135,0.36622690048184997,0.4714228958659199,0.9247720930666414
Gratitude,Awe,0.8295145600904906,20,catalytic (lag=20),0.1944219238251479,0.4567436299865047,0.5618756622205229,0.9755890143820769
Gratitude,Compassion,0.9607311626414863,19,catalytic (lag=19),0.3121956128350753,0.3377909339928311,0.4433814352211909,0.9151241642540424
Gratitude,Hope,0.8962454639146429,-20,catalytic (lag=-20),0.196425189214474,0.4551051373501652,0.5587408892180472,0.9725891421043383
Gratitude,Openness,0.6492640690988521,0,constructive (+),0.12061423990431798,0.5222963929594215,0.6200453116912054,0.966049289817105
Gratitude,Coherence,0.7281667494060943,0,constructive (+),0.070754515561852,0.5648233284366031,0.6610332985436111,0.9584056403618975
Gratitude,Entropy,-0.9739342780478794,-20,catalytic (lag=-20),-0.5131987796735592,-0.08407485400407394,-0.18385370108848573,-0.8859554391899437
Curiosity,Agape,0.8756453459272143,-20,catalytic (lag=-20),0.5868965835498468,-0.9601218285115584,-0.9829819617452865,-0.6599144593605119
Curiosity,Eros,0.9712521067683652,-20,catalytic (lag=-20),-0.6662115630988193,0.19055075288420636,0.12338411827591453,-0.63252208275419
Curiosity,Philia,0.7910201237482565,-20,catalytic (lag=-20),0.6586453027647052,-0.9358207249173334,-0.9125283662905408,-0.49196462139786534
Curiosity,Pragma,0.7093088633535086,-20,catalytic (lag=-20),0.6650884587792745,-0.7171139553201084,-0.6412142705239045,-0.10808803586191947
Curiosity,Storge,0.9463724867586446,-20,catalytic (lag=-20),0.3189798115986829,-0.8328584533687269,-0.8851852345538175,-0.8566431210641277
Curiosity,Ludus,-0.9712521067683663,-20,catalytic (lag=-20),-0.3891255373410104,0.8387407359031874,0.8980273135579763,0.7814934514811288
Curiosity,Joy,-0.9990293944254623,-18,catalytic (lag=-18),-0.32351116947931224,0.7804365055716,0.8489935827810149,0.7959916288056035
Curiosity,Gratitude,-0.8706093653202883,-16,catalytic (lag=-16),0.1608110904294084,0.4871238378360425,0.5890228999653799,0.9726635145362177
Curiosity,Curiosity,-0.9547736838234187,-20,catalytic (lag=-20),-0.5277334972189515,0.8633359060999458,0.9067532761959178,0.6296195689921946
Curiosity,Anger,0.9712521067683659,-20,catalytic (lag=-20),0.012141447121970779,-0.6231951074524029,-0.7059001948444632,-0.9689818472248216
Curiosity,Fear,0.8991930046529742,-20,catalytic (lag=-20),0.5760767621526969,-0.9455273681175461,-0.9806566991033164,-0.6493321065130472
Curiosity,Sadness,-0.842947620500736,-17,catalytic (lag=-17),0.13668716643003764,0.5089183457012493,0.6104227998829557,0.959762517719364
Curiosity,Awe,-0.9974114664991691,-11,catalytic (lag=-11),-0.18454108637908492,0.6609427095126454,0.7478900558482273,0.8144633353720332
Curiosity,Compassion,-0.8572676151861889,-15,catalytic (lag=-15),0.18239365301139096,0.4681366319371369,0.5712626607735282,0.9698724697221351
Curiosity,Hope,-0.9928103437599242,-16,catalytic (lag=-16),-0.20613546486427933,0.7188840247327749,0.7986368306595815,0.8671592506582304
Curiosity,Openness,-0.7424586245536943,-20,catalytic (lag=-20),-0.7051556339280999,0.9770954201573778,0.9860483599692577,0.5268351148888046
Curiosity,Coherence,-0.8135187238566117,-20,catalytic (lag=-20),-0.6576405698253389,0.9700886181360915,0.9939224308941903,0.5687905102764396
