CCI,hazard,risk,survival,epoch,delta_CCI,delta_hazard,pre_shock_CCI,pre_shock_hazard,success,epsilon,rho,trust_delta,meaning_delta,seed,run_idx
0.561747273706526,0.2312848175079593,0.16785200000000003,0.832148,1000,0.028087363685326272,-0.02312848175079593,0.5336599100211997,0.2544132992587552,True,0.0011,0.0828,0.06,0.06,11,1
0.565747273706526,0.2297848175079593,0.16630575,0.83369425,1000,0.02828736368532636,-0.022978481750795948,0.5374599100211996,0.25276329925875524,True,0.0011,0.0828,0.06,0.07,11,2
0.569747273706526,0.2282848175079593,0.1647655,0.8352345,1000,0.02848736368532634,-0.022828481750795965,0.5412599100211997,0.25111329925875525,True,0.0011,0.0828,0.06,0.08,11,3
0.564747273706526,0.2297848175079593,0.166421,0.833579,1000,0.028237363685326367,-0.022978481750795948,0.5365099100211996,0.25276329925875524,True,0.0011,0.0828,0.07,0.06,11,4
0.568747273706526,0.2282848175079593,0.16488,0.83512,1000,0.028437363685326345,-0.022828481750795965,0.5403099100211997,0.25111329925875525,True,0.0011,0.0828,0.07,0.07,11,5
0.572747273706526,0.22678481750795929,0.163345,0.836655,1000,0.028637363685326322,-0.022678481750795954,0.5441099100211997,0.24946329925875524,True,0.0011,0.0828,0.07,0.08,11,6
0.5661472737065261,0.2312848175079593,0.1673416,0.8326584,1000,0.02830736368532638,-0.02312848175079593,0.5378399100211997,0.2544132992587552,True,0.0011,0.085,0.06,0.06,11,7
0.5701472737065261,0.2297848175079593,0.16579865,0.8342013500000001,1000,0.02850736368532636,-0.022978481750795948,0.5416399100211997,0.25276329925875524,True,0.0011,0.085,0.06,0.07,11,8
0.5741472737065261,0.2282848175079593,0.16426169999999998,0.8357383,1000,0.028707363685326337,-0.022828481750795965,0.5454399100211997,0.25111329925875525,True,0.0011,0.085,0.06,0.08,11,9
0.5691472737065261,0.2297848175079593,0.1659139,0.8340860999999999,1000,0.028457363685326365,-0.022978481750795948,0.5406899100211997,0.25276329925875524,True,0.0011,0.085,0.07,0.06,11,10
0.5731472737065261,0.2282848175079593,0.1643762,0.8356238,1000,0.028657363685326342,-0.022828481750795965,0.5444899100211997,0.25111329925875525,True,0.0011,0.085,0.07,0.07,11,11
0.5771472737065261,0.22678481750795929,0.1628445,0.8371554999999999,1000,0.02885736368532632,-0.022678481750795954,0.5482899100211998,0.24946329925875524,True,0.0011,0.085,0.07,0.08,11,12
0.571147273706526,0.2312848175079593,0.1667616,0.8332383999999999,1000,0.028557363685326353,-0.02312848175079593,0.5425899100211996,0.2544132992587552,True,0.0011,0.0875,0.06,0.06,11,13
0.575147273706526,0.2297848175079593,0.16522240000000002,0.8347776,1000,0.02875736368532633,-0.022978481750795948,0.5463899100211996,0.25276329925875524,True,0.0011,0.0875,0.06,0.07,11,14
0.579147273706526,0.2282848175079593,0.1636892,0.8363108,1000,0.02895736368532631,-0.022828481750795965,0.5501899100211997,0.25111329925875525,True,0.0011,0.0875,0.06,0.08,11,15
0.574147273706526,0.2297848175079593,0.16533765000000003,0.83466235,1000,0.028707363685326337,-0.022978481750795948,0.5454399100211996,0.25276329925875524,True,0.0011,0.0875,0.07,0.06,11,16
0.578147273706526,0.2282848175079593,0.16380370000000002,0.8361963,1000,0.028907363685326315,-0.022828481750795965,0.5492399100211997,0.25111329925875525,True,0.0011,0.0875,0.07,0.07,11,17
0.582147273706526,0.22678481750795929,0.16227575000000002,0.83772425,1000,0.029107363685326293,-0.022678481750795954,0.5530399100211997,0.24946329925875524,True,0.0011,0.0875,0.07,0.08,11,18
0.576147273706526,0.2312848175079593,0.16618159999999998,0.8338184,1000,0.028807363685326326,-0.02312848175079593,0.5473399100211996,0.2544132992587552,True,0.0011,0.09,0.06,0.06,11,19
0.580147273706526,0.2297848175079593,0.16464615,0.83535385,1000,0.029007363685326304,-0.022978481750795948,0.5511399100211997,0.25276329925875524,True,0.0011,0.09,0.06,0.07,11,20
0.584147273706526,0.2282848175079593,0.1631167,0.8368833,1000,0.029207363685326282,-0.022828481750795965,0.5549399100211997,0.25111329925875525,True,0.0011,0.09,0.06,0.08,11,21
0.579147273706526,0.2297848175079593,0.1647614,0.8352386,1000,0.02895736368532631,-0.022978481750795948,0.5501899100211997,0.25276329925875524,True,0.0011,0.09,0.07,0.06,11,22
0.583147273706526,0.2282848175079593,0.1632312,0.8367688,1000,0.029157363685326287,-0.022828481750795965,0.5539899100211997,0.25111329925875525,True,0.0011,0.09,0.07,0.07,11,23
0.587147273706526,0.22678481750795929,0.161707,0.838293,1000,0.029357363685326376,-0.022678481750795954,0.5577899100211996,0.24946329925875524,True,0.0011,0.09,0.07,0.08,11,24
0.562747273706526,0.2312848175079593,0.167736,0.832264,1000,0.028137363685326378,-0.02312848175079593,0.5346099100211996,0.2544132992587552,True,0.0012,0.0828,0.06,0.06,11,25
0.566747273706526,0.2297848175079593,0.1661905,0.8338095,1000,0.028337363685326356,-0.022978481750795948,0.5384099100211996,0.25276329925875524,True,0.0012,0.0828,0.06,0.07,11,26
0.570747273706526,0.2282848175079593,0.164651,0.835349,1000,0.028537363685326333,-0.022828481750795965,0.5422099100211997,0.25111329925875525,True,0.0012,0.0828,0.06,0.08,11,27
0.565747273706526,0.2297848175079593,0.16630575,0.83369425,1000,0.02828736368532636,-0.022978481750795948,0.5374599100211996,0.25276329925875524,True,0.0012,0.0828,0.07,0.06,11,28
0.569747273706526,0.2282848175079593,0.1647655,0.8352345,1000,0.02848736368532634,-0.022828481750795965,0.5412599100211997,0.25111329925875525,True,0.0012,0.0828,0.07,0.07,11,29
0.573747273706526,0.22678481750795929,0.16323125000000002,0.83676875,1000,0.028687363685326317,-0.022678481750795954,0.5450599100211997,0.24946329925875524,True,0.0012,0.0828,0.07,0.08,11,30
0.567147273706526,0.2312848175079593,0.1672256,0.8327744,1000,0.028357363685326376,-0.02312848175079593,0.5387899100211996,0.2544132992587552,True,0.0012,0.085,0.06,0.06,11,31
0.571147273706526,0.2297848175079593,0.1656834,0.8343166,1000,0.028557363685326353,-0.022978481750795948,0.5425899100211996,0.25276329925875524,True,0.0012,0.085,0.06,0.07,11,32
0.575147273706526,0.2282848175079593,0.1641472,0.8358528000000001,1000,0.02875736368532633,-0.022828481750795965,0.5463899100211996,0.25111329925875525,True,0.0012,0.085,0.06,0.08,11,33
0.570147273706526,0.2297848175079593,0.16579865000000002,0.83420135,1000,0.02850736368532636,-0.022978481750795948,0.5416399100211996,0.25276329925875524,True,0.0012,0.085,0.07,0.06,11,34
0.574147273706526,0.2282848175079593,0.1642617,0.8357383,1000,0.028707363685326337,-0.022828481750795965,0.5454399100211996,0.25111329925875525,True,0.0012,0.085,0.07,0.07,11,35
0.578147273706526,0.22678481750795929,0.16273075,0.83726925,1000,0.028907363685326315,-0.022678481750795954,0.5492399100211997,0.24946329925875524,True,0.0012,0.085,0.07,0.08,11,36
0.572147273706526,0.2312848175079593,0.1666456,0.8333543999999999,1000,0.028607363685326348,-0.02312848175079593,0.5435399100211996,0.2544132992587552,True,0.0012,0.0875,0.06,0.06,11,37
0.576147273706526,0.2297848175079593,0.16510714999999998,0.83489285,1000,0.028807363685326326,-0.022978481750795948,0.5473399100211996,0.25276329925875524,True,0.0012,0.0875,0.06,0.07,11,38
0.580147273706526,0.2282848175079593,0.1635747,0.8364253,1000,0.029007363685326304,-0.022828481750795965,0.5511399100211997,0.25111329925875525,True,0.0012,0.0875,0.06,0.08,11,39
0.575147273706526,0.2297848175079593,0.16522240000000002,0.8347776,1000,0.02875736368532633,-0.022978481750795948,0.5463899100211996,0.25276329925875524,True,0.0012,0.0875,0.07,0.06,11,40
0.579147273706526,0.2282848175079593,0.1636892,0.8363108,1000,0.02895736368532631,-0.022828481750795965,0.5501899100211997,0.25111329925875525,True,0.0012,0.0875,0.07,0.07,11,41
0.583147273706526,0.22678481750795929,0.162162,0.837838,1000,0.029157363685326287,-0.022678481750795954,0.5539899100211997,0.24946329925875524,True,0.0012,0.0875,0.07,0.08,11,42
0.577147273706526,0.2312848175079593,0.1660656,0.8339344,1000,0.02885736368532632,-0.02312848175079593,0.5482899100211996,0.2544132992587552,True,0.0012,0.09,0.06,0.06,11,43
0.581147273706526,0.2297848175079593,0.1645309,0.8354691,1000,0.0290573636853263,-0.022978481750795948,0.5520899100211997,0.25276329925875524,True,0.0012,0.09,0.06,0.07,11,44
0.585147273706526,0.2282848175079593,0.1630022,0.8369978,1000,0.029257363685326276,-0.022828481750795965,0.5558899100211997,0.25111329925875525,True,0.0012,0.09,0.06,0.08,11,45
0.580147273706526,0.2297848175079593,0.16464615,0.83535385,1000,0.029007363685326304,-0.022978481750795948,0.5511399100211997,0.25276329925875524,True,0.0012,0.09,0.07,0.06,11,46
0.584147273706526,0.2282848175079593,0.1631167,0.8368833,1000,0.029207363685326282,-0.022828481750795965,0.5549399100211997,0.25111329925875525,True,0.0012,0.09,0.07,0.07,11,47
0.588147273706526,0.22678481750795929,0.16159325,0.83840675,1000,0.02940736368532637,-0.022678481750795954,0.5587399100211996,0.24946329925875524,True,0.0012,0.09,0.07,0.08,11,48
0.563747273706526,0.2312848175079593,0.16762,0.83238,1000,0.028187363685326372,-0.02312848175079593,0.5355599100211996,0.2544132992587552,True,0.0013,0.0828,0.06,0.06,11,49
0.567747273706526,0.2297848175079593,0.16607524999999998,0.83392475,1000,0.02838736368532635,-0.022978481750795948,0.5393599100211997,0.25276329925875524,True,0.0013,0.0828,0.06,0.07,11,50
0.571747273706526,0.2282848175079593,0.16453649999999997,0.8354635,1000,0.028587363685326328,-0.022828481750795965,0.5431599100211997,0.25111329925875525,True,0.0013,0.0828,0.06,0.08,11,51
0.566747273706526,0.2297848175079593,0.1661905,0.8338095,1000,0.028337363685326356,-0.022978481750795948,0.5384099100211996,0.25276329925875524,True,0.0013,0.0828,0.07,0.06,11,52
0.570747273706526,0.2282848175079593,0.164651,0.835349,1000,0.028537363685326333,-0.022828481750795965,0.5422099100211997,0.25111329925875525,True,0.0013,0.0828,0.07,0.07,11,53
0.574747273706526,0.22678481750795929,0.1631175,0.8368825,1000,0.02873736368532631,-0.022678481750795954,0.5460099100211997,0.24946329925875524,True,0.0013,0.0828,0.07,0.08,11,54
0.5681472737065261,0.2312848175079593,0.1671096,0.8328904,1000,0.02840736368532637,-0.02312848175079593,0.5397399100211997,0.2544132992587552,True,0.0013,0.085,0.06,0.06,11,55
0.5721472737065261,0.2297848175079593,0.16556815,0.83443185,1000,0.028607363685326348,-0.022978481750795948,0.5435399100211997,0.25276329925875524,True,0.0013,0.085,0.06,0.07,11,56
0.5761472737065261,0.2282848175079593,0.1640327,0.8359673,1000,0.028807363685326326,-0.022828481750795965,0.5473399100211997,0.25111329925875525,True,0.0013,0.085,0.06,0.08,11,57
0.5711472737065261,0.2297848175079593,0.16568339999999998,0.8343166,1000,0.028557363685326353,-0.022978481750795948,0.5425899100211997,0.25276329925875524,True,0.0013,0.085,0.07,0.06,11,58
0.5751472737065261,0.2282848175079593,0.1641472,0.8358528000000001,1000,0.02875736368532633,-0.022828481750795965,0.5463899100211997,0.25111329925875525,True,0.0013,0.085,0.07,0.07,11,59
0.5791472737065261,0.22678481750795929,0.16261699999999998,0.837383,1000,0.02895736368532631,-0.022678481750795954,0.5501899100211998,0.24946329925875524,True,0.0013,0.085,0.07,0.08,11,60
0.573147273706526,0.2312848175079593,0.1665296,0.8334704,1000,0.028657363685326342,-0.02312848175079593,0.5444899100211996,0.2544132992587552,True,0.0013,0.0875,0.06,0.06,11,61
0.577147273706526,0.2297848175079593,0.1649919,0.8350081,1000,0.02885736368532632,-0.022978481750795948,0.5482899100211996,0.25276329925875524,True,0.0013,0.0875,0.06,0.07,11,62
0.581147273706526,0.2282848175079593,0.1634602,0.8365398,1000,0.0290573636853263,-0.022828481750795965,0.5520899100211997,0.25111329925875525,True,0.0013,0.0875,0.06,0.08,11,63
0.576147273706526,0.2297848175079593,0.16510714999999998,0.83489285,1000,0.028807363685326326,-0.022978481750795948,0.5473399100211996,0.25276329925875524,True,0.0013,0.0875,0.07,0.06,11,64
0.580147273706526,0.2282848175079593,0.1635747,0.8364253,1000,0.029007363685326304,-0.022828481750795965,0.5511399100211997,0.25111329925875525,True,0.0013,0.0875,0.07,0.07,11,65
0.584147273706526,0.22678481750795929,0.16204824999999998,0.83795175,1000,0.029207363685326282,-0.022678481750795954,0.5549399100211997,0.24946329925875524,True,0.0013,0.0875,0.07,0.08,11,66
0.578147273706526,0.2312848175079593,0.16594960000000003,0.8340504,1000,0.028907363685326315,-0.02312848175079593,0.5492399100211997,0.2544132992587552,True,0.0013,0.09,0.06,0.06,11,67
0.582147273706526,0.2297848175079593,0.16441565000000002,0.83558435,1000,0.029107363685326293,-0.022978481750795948,0.5530399100211997,0.25276329925875524,True,0.0013,0.09,0.06,0.07,11,68
0.586147273706526,0.2282848175079593,0.16288770000000002,0.8371123,1000,0.02930736368532627,-0.022828481750795965,0.5568399100211997,0.25111329925875525,True,0.0013,0.09,0.06,0.08,11,69
0.581147273706526,0.2297848175079593,0.1645309,0.8354691,1000,0.0290573636853263,-0.022978481750795948,0.5520899100211997,0.25276329925875524,True,0.0013,0.09,0.07,0.06,11,70
0.585147273706526,0.2282848175079593,0.1630022,0.8369978,1000,0.029257363685326276,-0.022828481750795965,0.5558899100211997,0.25111329925875525,True,0.0013,0.09,0.07,0.07,11,71
0.589147273706526,0.22678481750795929,0.1614795,0.8385205,1000,0.029457363685326365,-0.022678481750795954,0.5596899100211996,0.24946329925875524,True,0.0013,0.09,0.07,0.08,11,72
0.5543813294501067,0.22736342980298374,0.16785200000000003,0.832148,1000,0.027719066472505327,-0.02273634298029842,0.5266622629776013,0.25009977278328216,True,0.0011,0.0828,0.06,0.06,17,1
0.5583813294501067,0.22586342980298374,0.16630575,0.83369425,1000,0.027919066472505305,-0.022586342980298407,0.5304622629776014,0.24844977278328215,True,0.0011,0.0828,0.06,0.07,17,2
0.5623813294501067,0.22436342980298374,0.1647655,0.8352345,1000,0.028119066472505394,-0.022436342980298396,0.5342622629776013,0.24679977278328213,True,0.0011,0.0828,0.06,0.08,17,3
0.5573813294501067,0.22586342980298374,0.166421,0.833579,1000,0.02786906647250531,-0.022586342980298407,0.5295122629776013,0.24844977278328215,True,0.0011,0.0828,0.07,0.06,17,4
0.5613813294501067,0.22436342980298374,0.16488,0.83512,1000,0.0280690664725054,-0.022436342980298396,0.5333122629776013,0.24679977278328213,True,0.0011,0.0828,0.07,0.07,17,5
0.5653813294501067,0.22286342980298374,0.163345,0.836655,1000,0.028269066472505378,-0.022286342980298385,0.5371122629776013,0.24514977278328212,True,0.0011,0.0828,0.07,0.08,17,6
0.5587813294501067,0.22736342980298374,0.1673416,0.8326584,1000,0.027939066472505325,-0.02273634298029842,0.5308422629776014,0.25009977278328216,True,0.0011,0.085,0.06,0.06,17,7
0.5627813294501067,0.22586342980298374,0.16579865,0.8342013500000001,1000,0.028139066472505414,-0.022586342980298407,0.5346422629776013,0.24844977278328215,True,0.0011,0.085,0.06,0.07,17,8
0.5667813294501067,0.22436342980298374,0.16426169999999998,0.8357383,1000,0.028339066472505392,-0.022436342980298396,0.5384422629776013,0.24679977278328213,True,0.0011,0.085,0.06,0.08,17,9
0.5617813294501067,0.22586342980298374,0.1659139,0.8340860999999999,1000,0.02808906647250531,-0.022586342980298407,0.5336922629776014,0.24844977278328215,True,0.0011,0.085,0.07,0.06,17,10
0.5657813294501067,0.22436342980298374,0.1643762,0.8356238,1000,0.028289066472505398,-0.022436342980298396,0.5374922629776013,0.24679977278328213,True,0.0011,0.085,0.07,0.07,17,11
0.5697813294501067,0.22286342980298374,0.1628445,0.8371554999999999,1000,0.028489066472505375,-0.022286342980298385,0.5412922629776014,0.24514977278328212,True,0.0011,0.085,0.07,0.08,17,12
0.5637813294501066,0.22736342980298374,0.1667616,0.8332383999999999,1000,0.02818906647250541,-0.02273634298029842,0.5355922629776012,0.25009977278328216,True,0.0011,0.0875,0.06,0.06,17,13
0.5677813294501066,0.22586342980298374,0.16522240000000002,0.8347776,1000,0.028389066472505387,-0.022586342980298407,0.5393922629776012,0.24844977278328215,True,0.0011,0.0875,0.06,0.07,17,14
0.5717813294501066,0.22436342980298374,0.1636892,0.8363108,1000,0.028589066472505364,-0.022436342980298396,0.5431922629776013,0.24679977278328213,True,0.0011,0.0875,0.06,0.08,17,15
0.5667813294501066,0.22586342980298374,0.16533765000000003,0.83466235,1000,0.028339066472505392,-0.022586342980298407,0.5384422629776012,0.24844977278328215,True,0.0011,0.0875,0.07,0.06,17,16
0.5707813294501066,0.22436342980298374,0.16380370000000002,0.8361963,1000,0.02853906647250537,-0.022436342980298396,0.5422422629776013,0.24679977278328213,True,0.0011,0.0875,0.07,0.07,17,17
0.5747813294501066,0.22286342980298374,0.16227575000000002,0.83772425,1000,0.028739066472505348,-0.022286342980298385,0.5460422629776013,0.24514977278328212,True,0.0011,0.0875,0.07,0.08,17,18
0.5687813294501066,0.22736342980298374,0.16618159999999998,0.8338184,1000,0.02843906647250538,-0.02273634298029842,0.5403422629776012,0.25009977278328216,True,0.0011,0.09,0.06,0.06,17,19
0.5727813294501066,0.22586342980298374,0.16464615,0.83535385,1000,0.02863906647250536,-0.022586342980298407,0.5441422629776013,0.24844977278328215,True,0.0011,0.09,0.06,0.07,17,20
0.5767813294501066,0.22436342980298374,0.1631167,0.8368833,1000,0.028839066472505337,-0.022436342980298396,0.5479422629776013,0.24679977278328213,True,0.0011,0.09,0.06,0.08,17,21
0.5717813294501066,0.22586342980298374,0.1647614,0.8352386,1000,0.028589066472505364,-0.022586342980298407,0.5431922629776013,0.24844977278328215,True,0.0011,0.09,0.07,0.06,17,22
0.5757813294501066,0.22436342980298374,0.1632312,0.8367688,1000,0.028789066472505342,-0.022436342980298396,0.5469922629776013,0.24679977278328213,True,0.0011,0.09,0.07,0.07,17,23
